% OBJECT  = 'HR 1087'
% UT      = 2008-11-14
% EW      =  -3.36530
 655.104736   1.086474
 655.124756   1.077723
 655.144714   1.082284
 655.164673   1.101221
 655.184692   1.098503
 655.204651   1.111129
 655.224609   1.108441
 655.244568   1.083209
 655.264526   1.100848
 655.284546   1.135332
 655.304443   1.175281
 655.324341   1.197391
 655.344360   1.208702
 655.364258   1.206476
 655.384155   1.231368
 655.404114   1.263359
 655.424011   1.269420
 655.443970   1.301725
 655.463867   1.319635
 655.483765   1.341064
 655.503662   1.363478
 655.523560   1.418490
 655.543457   1.432829
 655.563354   1.480798
 655.583191   1.533562
 655.603088   1.595706
 655.622925   1.623559
 655.642822   1.683782
 655.662659   1.728621
 655.682495   1.801125
 655.702393   1.861380
 655.722229   1.947972
 655.742065   2.072261
 655.761902   2.194275
 655.781738   2.295339
 655.801575   2.402575
 655.821411   2.563210
 655.841187   2.701694
 655.860962   2.858768
 655.880798   3.064426
 655.900574   3.237752
 655.920410   3.435790
 655.940186   3.647003
 655.959961   3.836104
 655.979736   4.105216
 655.999512   4.357694
 656.019287   4.551909
 656.039062   4.820571
 656.058838   4.988894
 656.078613   5.130551
 656.098328   5.172417
 656.118103   5.157042
 656.137817   5.150324
 656.157593   5.067677
 656.177307   4.825754
 656.197021   4.170108
 656.216736   3.334252
 656.236450   2.553727
 656.256226   2.153686
 656.275879   2.358944
 656.295593   3.022784
 656.315308   3.883454
 656.335022   4.610885
 656.354675   4.992371
 656.374390   5.190183
 656.394043   5.161803
 656.413696   5.070000
 656.433411   5.093567
 656.453003   5.085973
 656.472717   4.987410
 656.492371   4.710884
 656.512024   4.488610
 656.531616   4.251659
 656.551331   4.042175
 656.570923   3.796128
 656.590576   3.608971
 656.610229   3.376510
 656.629822   3.176897
 656.649414   3.024951
 656.669067   2.832130
 656.688599   2.694965
 656.708252   2.542584
 656.727844   2.451436
 656.747437   2.276436
 656.766968   2.182168
 656.786621   2.087802
 656.806152   1.991603
 656.825745   1.887964
 656.845337   1.826502
 656.864868   1.745756
 656.884399   1.680615
 656.903992   1.636423
 656.923523   1.585534
 656.943054   1.556374
 656.962585   1.516217
 656.982117   1.469032
 657.001648   1.441716
 657.021179   1.408122
 657.040710   1.384056
 657.060181   1.362128
 657.079712   1.312894
 657.099243   1.294429
 657.118774   1.280999
 657.138245   1.243690
 657.157715   1.259269
 657.177185   1.198670
 657.196655   1.173414
 657.216187   1.173869
 657.235596   1.161044
 657.255066   1.166423
 657.274536   1.161849
 657.294006   1.147153
 657.313416   1.146607
 657.332886   1.121770
 657.352356   1.116133
 657.371765   1.115441
 657.391235   1.113429
 657.410583   1.109544
 657.430054   1.091147
 657.449463   1.076858
 657.468872   1.048398
 657.488281   1.036517
 657.507690   1.057815
 657.527039   1.063965
 657.546448   1.060865
 657.565796   1.061269
 657.585205   1.049958
 657.604614   1.063302
 657.623962   1.036635
 657.643372   1.045395
 657.662720   1.034355
 657.682007   1.032770
 657.701416   1.032531
 657.720764   1.019615
 657.740112   1.024985
 657.759399   1.013281
 657.778748   1.030917
 657.798096   1.019542
 657.817444   1.011208
 657.836731   1.017205
 657.856079   1.015743
 657.875366   1.012920
 657.894653   1.000726
 657.913940   0.999862
 657.933228   0.989722
 657.952515   1.000566
 657.971802   0.995890
 657.991089   0.993496
 658.010376   1.004244
 658.029663   0.984085
 658.048950   0.994124
 658.068176   0.986704
 658.087402   0.998682
 658.106628   0.991729
 658.125916   1.001306
 658.145142   0.995811
 658.164429   1.000759
 658.183594   1.009184
 658.202820   1.000859
 658.222046   0.998547
 658.241272   1.002385
 658.260498   0.996056
 658.279663   0.999538
 658.298889   0.990763
 658.318054   0.988380
 658.337280   0.998179
 658.356445   0.992769
 658.375610   0.996772
 658.394836   0.990682
 658.413940   1.012417
 658.433167   0.996769
 658.452271   1.006575
 658.471497   1.009562
 658.490601   1.018374
 658.509766   1.021351
 658.528931   1.030193
 658.548035   1.006797
 658.567200   0.993055
 658.586304   1.002944
 658.605408   0.987313
 658.624573   0.975665
 658.643677   0.985806
 658.662720   0.988210
 658.681885   0.983077
 658.700989   0.998987
 658.720093   0.999585
 658.739136   0.999732
 658.758179   0.998273
 658.777283   0.991141
 658.796387   1.005465
 658.815430   1.013239
 658.834534   0.995805
 658.853577   1.001206
 658.872620   0.995980
 658.891663   1.014255
 658.910706   1.006308
 658.929749   1.005501
 658.948792   0.998624
 658.967834   0.995915
 658.986877   0.992379
 659.005859   0.998528
 659.024841   0.990360
 659.043884   1.015444
 659.062866   0.991568
 659.081909   0.992307
 659.100891   0.989482
 659.119873   0.980455
 659.138855   0.998889
 659.157837   0.987604
 659.176819   0.998076
 659.195801   1.009175
 659.214722   0.999977
 659.233704   1.008265
 659.252686   1.011512
 659.271606   0.990408
 659.290588   1.005082
 659.309509   0.993879
 659.328491   0.990584
 659.347351   1.005715
 659.366333   1.008054
 659.385193   1.009042
 659.404175   1.010000
 659.423035   1.010909
 659.441956   1.011773
 659.460815   1.012579
